序號,測站名稱,日期,海平面資料,海平面資料,海平面資料
,測站名稱,日期,平均潮位,最高高潮位,最低低潮位
,測站名稱,日期,cm,cm,cm
1,高雄,1995年08月,90.7,146.3,42
2,高雄,1995年09月,89.5,135.3,42
3,高雄,1995年10月,82.9,137.3,39
4,高雄,1995年11月,79.7,139.3,17
5,高雄,1995年12月,83.0,143.3,27
6,高雄,1996年01月,76.7,145.3,30
7,高雄,1996年02月,73.1,135.3,31
8,高雄,1996年03月,70.3,119.3,-
9,高雄,1996年04月,81.5,127.3,40
10,高雄,1996年05月,91.8,-,-
11,高雄,1996年06月,87.6,144.3,45
12,高雄,1996年07月,98.4,162.3,45
13,高雄,1996年08月,89.5,166.3,44
14,高雄,1996年09月,96.5,152.3,53
15,高雄,1996年10月,92.5,142.3,48
16,高雄,1996年11月,78.2,139.5,31
17,高雄,1996年12月,65.2,133.5,16
18,高雄,1997年01月,72.4,134.5,24
19,高雄,1997年02月,80.0,152.5,40
20,高雄,1997年03月,79.9,133.5,38
21,高雄,1997年04月,81.0,132.5,33
22,高雄,1997年05月,85.3,141.5,41
23,高雄,1997年06月,97.5,159.5,47
24,高雄,1997年07月,100.6,164.5,56
25,高雄,1997年08月,98.8,159.5,57
26,高雄,1997年09月,100.1,160.5,47
27,高雄,1997年10月,87.0,128.5,45
28,高雄,1997年11月,81.8,138.5,38
29,高雄,1997年12月,78.4,144.5,28
30,高雄,1998年01月,72.3,137.5,17
31,高雄,1998年02月,69.0,129.7,20
32,高雄,1998年03月,69.9,116.7,30
33,高雄,1998年04月,70.4,126.7,32
34,高雄,1998年05月,73.7,137.7,32
35,高雄,1998年06月,86.0,142.7,48
36,高雄,1998年07月,81.5,140.7,40
37,高雄,1998年08月,85.8,146.7,48
38,高雄,1998年09月,86.8,132.7,40
39,高雄,1998年10月,80.4,125.7,39
40,高雄,1998年11月,80.6,134.7,28
41,高雄,1998年12月,84.3,140.7,21
42,高雄,1999年01月,84.7,151.7,28
43,高雄,1999年02月,76.1,137.7,32
44,高雄,1999年03月,89.0,138.7,34
45,高雄,1999年04月,91.7,137.7,52
46,高雄,1999年05月,91.0,145.7,42
47,高雄,1999年06月,91.8,151.7,37
48,高雄,1999年07月,98.2,161.7,50
49,高雄,1999年08月,101.5,170.7,51
50,高雄,1999年09月,99.8,150.7,57
51,高雄,1999年10月,102.0,155.7,50
52,高雄,1999年11月,94.0,141.7,37
53,高雄,1999年12月,81.4,147.7,20
54,高雄,2000年01月,77.1,142.7,24
55,高雄,2000年02月,80.3,150.7,34
56,高雄,2000年03月,86.5,136.7,38
57,高雄,2000年04月,83.7,126.7,42
58,高雄,2000年05月,90.3,147.7,42
59,高雄,2000年06月,92.0,153.7,41
60,高雄,2000年07月,100.8,171.7,42
61,高雄,2000年08月,100.8,172.7,46
62,高雄,2000年09月,101.3,159.7,52
63,高雄,2000年10月,96.1,151.7,49
64,高雄,2000年11月,85.3,140.7,32
65,高雄,2000年12月,80.2,143.7,25
66,高雄,2001年01月,83.4,148.7,29
67,高雄,2001年02月,85.8,153.7,26
68,高雄,2001年03月,82.6,142.7,30
69,高雄,2001年04月,90.8,141.2,46
70,高雄,2001年05月,91.7,147.2,45
71,高雄,2001年06月,97.5,171.2,44
72,高雄,2001年07月,103.2,187.2,45
73,高雄,2001年08月,105.3,177.2,56
74,高雄,2001年09月,106.3,166.2,54
75,高雄,2001年10月,94.0,148.2,55
76,高雄,2001年11月,87.1,144.2,39
77,高雄,2001年12月,76.2,143.2,26
78,高雄,2002年01月,75.0,140.2,21
79,高雄,2002年02月,77.4,147.2,28
80,高雄,2002年03月,78.1,136.2,34
81,高雄,2002年04月,84.0,132.2,39
82,高雄,2002年05月,91.6,154.5,46
83,高雄,2002年06月,92.8,151.5,47
84,高雄,2002年07月,102.4,167.5,50
85,高雄,2002年08月,102.7,165.5,55
86,高雄,2002年09月,97.7,159.5,55
87,高雄,2002年10月,95.9,154.5,50
88,高雄,2002年11月,93.1,143.5,45
89,高雄,2002年12月,88.1,151.5,38
90,高雄,2003年01月,78.0,142.5,24
91,高雄,2003年02月,85.2,146.5,34
92,高雄,2003年03月,81.8,132.5,36
93,高雄,2003年04月,85.2,134.5,36
94,高雄,2003年05月,74.2,134.5,23
95,高雄,2003年06月,77.9,153.5,26
96,高雄,2003年07月,81.9,143.5,34
97,高雄,2003年08月,95.0,154.5,35
98,高雄,2003年09月,94.1,148.5,51
99,高雄,2003年10月,89.5,137.5,37
100,高雄,2003年11月,81.8,145.5,27
